Course Title: Programming in C			
Session Number / Title	Duration	Topics / Content Outline	PPT Resouce (Published URL)
Session 10: Introduction to Arrays	1 Hour	"- Why arrays are needed (limitations of scalar variables).
- One-dimensional arrays: declaration and syntax.
- Array indexing and zero-based indexing.
- Accessing and modifying elements."	http://tiny.cc/CSes10Deck
Session 11: 1D Array - Basic Operations	1 Hour	"- Array initialization methods (compile-time, run-time).
- Reading values into arrays using loops.
- Printing array elements."	http://tiny.cc/CSes11Deck
Session 12:  2D Arrays and Multidimensional Arrays	1 Hour	"- Declaration and initialization of 2D arrays.
- Row-column indexing logic.
- Traversing 2D arrays using nested loops.
- Multidimensional arrays beyond 2D."	http://tiny.cc/CSes12Deck
Session 13: Searching & Sorting	1 Hour	"- Linear Search: Finding an element in a 1D array;
- Bubble Sort
- Logic vs. Syntax: manual swapping using a temporary variable"	http://tiny.cc/CSes13Deck
Session 14: Introduction to Strings in C	1 Hour	"- What is a string in C? (character array + null terminator).
- Difference between character and string.
- Declaring and initializing strings.
- Importance of '\0'."	http://tiny.cc/CSes14Deck
Session 15: Reading & Writing Strings	1 Hour	"- Reading strings using scanf() and gets().
- Using fgets() for safer input.
- Writing strings using printf() and puts()."	http://tiny.cc/CSes15Deck
Session 16: String Operations - Built-in Functions	1 Hour	"- String length: strlen().
- String copy: strcpy().
- String concatenation: strcat().
- String comparison: strcmp().
- Header file <string.h>."	http://tiny.cc/CSes16Deck
Session 17: String Manipulation	1 Hour	"- Manual string length calculation.
- String copy using loops.
- String comparison logic."	http://tiny.cc/CSes17Deck
Session 18: Arrays of Strings	1 Hour	"- Concept of arrays of strings (2D character arrays).
- Declaration and initialization.
- Reading and displaying multiple strings."	http://tiny.cc/CSes18Deck
UNIT 3: FUNCTIONS AND POINTERS			
Session 19: Introduction to Functions	1 Hour	"- Why functions are needed (modularity, reuse).
- Difference between function declaration and definition.
- Built-in functions overview (printf, scanf, strlen, etc.).
- Writing and calling simple user-defined functions."	
Session 21: Function Prototypes & Parameter Passing	1 Hour	"- Function prototypes and why they exist.
- Call by value (default in C).
- Understanding data flow between functions."	
Session 21: Passing Arrays to Functions & Variable Scope	1 Hour	"- Passing 1D arrays to functions.
- Array parameters and size handling.
- Scope of variables: local vs global.
- Lifetime of variables."	
Session 22: Recursion	1 Hour	"- What is recursion and why it is used.
- Base condition and recursive call.
- Recursive vs iterative solutions.
- Examples: factorial, Fibonacci, sum of digits."	
Session 23: Introduction to Pointers	1 Hour	"- What is a pointer and why it exists.
- Pointer declaration and initialization.
- Address-of (&) and dereferencing (*) operators.
- call by reference"	
Session 24: Pointer Arithmetic & Pointers with Arrays	1 Hour	"- Pointer arithmetic concepts.
- Relationship between arrays and pointers.
- Accessing array elements using pointers."	
Session 25: Advanced Pointer Concepts	1 Hour	"- Pointer to pointer (double pointer).
- Use cases
- Pointers to functions."	
Session 26: Pointers with Strings & Arrays	1 Hour	"- Strings as character pointers.
- Pointer-based string traversal.
- Difference between char[] and char*.
- Arrays of pointers."	
Session 27: Dynamic Memory Allocation	1 Hour	"- Need for dynamic memory.
- malloc(), calloc(), realloc(), free().
- Memory leaks and dangling pointers."	
UNIT 4: STRUCTURES AND UNIONS			
Session 28: Introduction to Structures	1 Hour	"- Why structures are needed (limitations of arrays and variables).
- Structure declaration and definition.
- Accessing structure members using dot (.) operator."	
Session 29: Initialization & Array of Structures	1 Hour	"- Structure initialization (compile-time and run-time).
- Array of structures: declaration and usage.
- Reading and displaying multiple structure records."	
Session 30: Nested Structures	1 Hour	"- Concept of nested structures.
- Accessing members of nested structures."	
Session 31: Pointers and Structures	1 Hour	"- Need for pointers with structures.
- Pointer to structure declaration.
- Accessing members using arrow (->) operator.
- Passing structures to functions (by value vs pointer)."	
Session 32: Self-Referential Structures	1 Hour	"- What is a self-referential structure and why it exists.
- Syntax and memory visualization.
- Role in dynamic data structures."	
Session 33: Singly Linked List - Creation	1 Hour	"- What is a linked list and why arrays fail.
- Node structure definition.
- Linking nodes together"	
Session 34: Singly Linked List - Operations	1 Hour	"- Traversing a linked list.
- Insertion/deletion at beginning, in-between and end.
- Displaying linked list elements."	
Session 35: Union	1 Hour	"- Union declaration and usage.
- Memory sharing concept.
- Structure vs union comparison"	
Session 36: Storage Classes	1 Hour	"- Storage classes: auto, static, extern, register.
- Scope, lifetime, and visibility"	
UNIT 5: FILE PROCESSING			
Session 37: Introduction to Files	1 Hour	"- Need for files in C (permanent storage).
- Difference between RAM and file storage.
- Types of file processing: sequential and random access."	
Session 38: File Operations & File Modes	1 Hour	"- File pointer (FILE *).
- Opening and closing files: fopen(), fclose().
- File modes: r, w, a, r+, w+, a+."	
Session 39: Sequential Access Files - Reading & Writing	1 Hour	"- Writing data to sequential files.
- Reading data from sequential files.
- Functions: fprintf(), fscanf(), fgets(), fputs()."	
Session 40: Sequential Access File Applications	1 Hour	"- Finding average of numbers stored in a file.
- Processing numeric data from files."	
Session 41: Random Access Files	1 Hour	"- Need for random access files.
- File positioning functions: fseek, ftell, rewind.
- Difference between sequential and random access."	
Session 42: Random Access Files with Structures	1 Hour	"- Storing structure records in files.
- Reading and writing structure data (fread, fwrite).
- Calculating record size.
- Accessing specific records."	
Session 43: Transaction Processing using Random Access Files	1 Hour	"- What is transaction processing.
- Insert, update, and delete operations on records.
- Simple record-based applications (bank, inventory)."	
Session 44: File Error Handling	1 Hour	"- Checking file open failures.
- Common runtime file errors.
- Safe file handling practices."	
Session 45: Command Line Arguments	1 Hour	"- What are command line arguments.
- argc and argv parameters.
- Accessing command line input."	
TOTAL	45 Hours		
